createdAt,productId,productDescription,solutionType,businessIncidentReasonType,businessIncidentReason,partner_id
1752842529,,LG OLED C3 Series 65-inch 4K UHD Smart TV,COMPENSATION_CODE,PRODUCT_DEFECT,SCREEN_DEAD_PIXELS,1000101
1752843529,,Bose QuietComfort Earbuds II,COMPENSATION_CODE,PARTIAL_OR_NOT_PROVIDED,INCORRECT_COLOR,2000200
1752844529,,Dyson V15 Detect Cordless Vacuum Cleaner,COMPENSATION_CODE,FAULTY_PRODUCT,LOSS_OF_SUCTION,3000300
1752845529,,Instant Pot Duo 7-in-1 Electric Pressure Cooker,COMPENSATION_CODE,CUSTOMER_ERROR,ORDERED_WRONG_SIZE,4000400
1752846529,,Nintendo Switch OLED Model,COMPENSATION_CODE,ADDITIONAL_REASONS,JOY_CON_DRIFT,5000500
1752847529,,Bose SoundLink Revolve+ II Bluetooth Speaker,COMPENSATION_CODE,DELIVERY_ISSUE,LOST_IN_TRANSIT,6000600
1752848529,,Logitech C920x HD Pro Webcam,COMPENSATION_CODE,FAULTY_PRODUCT,POOR_IMAGE_QUALITY,7000700
1752849529,,Philips Hue White and Color Ambiance Smart Bulb,COMPENSATION_CODE,ITEM_IS_NOT_CORRECT,INCORRECT_QUANTITY,8000800
1752850529,,Google Pixel 8 Pro,COMPENSATION_CODE,FAULTY_PRODUCT,CAMERA_ISSUE,9000900
1752851529,,Keurig K-Elite Single Serve Coffee Maker,COMPENSATION_CODE,ADDITIONAL_REASONS,LEAKING_WATER,1100010
1752852529,,Ninja Foodi 8-in-1 Digital Air Fry Oven,COMPENSATION_CODE,FAULTY_PRODUCT,OVERHEATING_ISSUE,1200012
1752853529,,Samsung Galaxy S24 Ultra,COMPENSATION_CODE,PARTIAL_OR_NOT_PROVIDED,INCORRECT_STORAGE_SIZE,1300013
1752854529,,LG CordZero A9 Kompressor Stick Vacuum,COMPENSATION_CODE,FAULTY_PRODUCT,BATTERY_NOT_CHARGING,1400014
1752855529,,Sony PlayStation 5 Console,COMPENSATION_CODE,ADDITIONAL_REASONS,OVERHEATING_ISSUE,1500015
